row_index,mobile_number,original_value,detected_timezone,converted_ist
0,+9198740000000,14:45,Assumed IST,2025-08-15T14:45:00+05:30
1,+9198300000000,14:45,Assumed IST,2025-08-15T14:45:00+05:30
