row_index,mobile_number,original_value,detected_timezone,converted_ist
0,+9200000000000,11:08,Assumed IST,2025-08-16T11:08:00+05:30
1,+9200000000000,11:08,Assumed IST,2025-08-16T11:08:00+05:30
